teamID,yearID,lgID,G,W,L,R,RA,RD
ANA,2001,AL,162,75,87,691,730,-39
ARI,2001,NL,162,92,70,818,677,141
ATL,2001,NL,,88,74,729,643,86
BAL,2001,AL,162,63,98,687,829,-142
BOS,2001,AL,161,82,79,772,745,27
CHA,2001,AL,162,83,79,798,795,3
CHN,2001,NL,162,88,74,777,701,76
CIN,2001,NL,162,66,96,735,850,-115
CLE,2001,AL,162,91,71,897,821,76
COL,2001,NL,162,73,89,923,906,17
DET,2001,AL,162,66,96,724,876,-152
FLO,2001,NL,162,76,86,742,744,-2
HOU,2001,NL,162,93,69,847,769,78
KCA,2001,AL,162,65,97,729,858,-129
LAN,2001,NL,162,86,76,758,744,14
MIL,2001,NL,162,68,94,740,806,-66
MIN,2001,AL,162,85,77,771,766,5
MON,2001,NL,162,68,94,670,812,-142
NYA,2001,AL,161,95,65,804,713,91
NYN,2001,NL,162,82,80,642,713,-71
OAK,2001,AL,162,102,60,,645,239
PHI,2001,NL,162,86,76,746,719,27
PIT,2001,NL,162,62,100,657,858,-201
SDN,2001,NL,162,79,83,789,812,-23
SEA,2001,AL,162,116,46,927,627,300
SFN,2001,NL,162,90,72,799,748,51
SLN,2001,NL,162,93,69,814,684,130
TBA,2001,AL,162,,100,672,887,-215
TEX,2001,AL,162,73,89,890,968,-78
TOR,2001,AL,162,80,82,767,753,14
ANA,2002,AL,162,99,63,851,644,207
ARI,2002,NL,162,98,64,819,674,145
ATL,2002,NL,161,101,59,708,565,143
BAL,2002,AL,162,67,95,667,773,-106
BOS,2002,AL,162,93,69,859,665,194
CHA,2002,AL,162,81,81,856,798,58
CHN,2002,NL,162,67,95,706,759,-53
CIN,2002,NL,162,78,84,709,774,-65
CLE,2002,AL,162,74,88,739,837,-98
COL,2002,NL,162,73,89,778,898,-120
DET,2002,AL,161,55,106,575,864,-289
FLO,2002,NL,162,79,83,699,763,-64
HOU,2002,NL,162,84,78,749,695,54
KCA,2002,AL,162,62,100,737,891,-154
LAN,2002,NL,162,92,70,713,643,70
MIL,2002,NL,162,56,106,627,821,-194
MIN,2002,AL,161,94,67,768,712,56
MON,2002,NL,162,83,79,735,718,17
NYA,2002,AL,161,103,58,897,697,200
NYN,2002,NL,161,75,86,690,703,-13
OAK,2002,AL,162,103,59,800,654,146
PHI,2002,NL,161,80,81,710,724,-14
PIT,2002,NL,161,72,,641,730,-89
SDN,2002,NL,162,66,96,662,815,-153
SEA,2002,AL,162,93,69,814,699,115
SFN,2002,NL,162,,66,783,616,167
SLN,2002,NL,162,97,65,787,648,139
TBA,2002,AL,161,55,106,673,918,-245
TEX,2002,AL,162,72,90,843,882,-39
TOR,2002,AL,162,78,84,813,828,-15
ANA,2003,AL,162,77,85,736,743,-7
ARI,2003,NL,162,84,78,717,685,32
ATL,2003,NL,162,101,61,907,740,167
BAL,2003,AL,163,71,91,743,820,-77
BOS,2003,AL,162,95,67,961,809,152
CHA,2003,AL,162,86,76,791,715,76
CHN,2003,NL,162,88,74,724,683,41
CIN,2003,NL,162,69,93,694,886,-192
CLE,2003,AL,162,68,94,699,778,-79
COL,2003,NL,162,74,88,853,892,-39
DET,2003,AL,162,43,119,591,928,-337
FLO,2003,NL,162,91,71,751,692,59
HOU,2003,NL,162,87,75,805,677,128
KCA,2003,AL,162,83,79,836,867,-31
LAN,2003,NL,162,85,77,574,556,18
MIL,2003,NL,162,68,94,714,873,-159
MIN,2003,AL,162,90,72,801,758,43
MON,2003,NL,162,83,79,711,716,-5
NYA,2003,AL,163,101,61,877,716,161
NYN,2003,NL,161,66,95,642,754,-112
OAK,2003,AL,162,96,66,768,643,125
PHI,2003,NL,162,86,76,791,697,94
PIT,2003,NL,162,75,87,753,801,-48
SDN,2003,NL,162,64,98,678,831,-153
SEA,2003,AL,162,93,69,795,637,158
SFN,2003,NL,161,100,61,755,638,117
SLN,2003,NL,162,85,77,876,796,80
TBA,2003,AL,162,63,99,715,852,-137
TEX,2003,AL,162,71,91,826,969,-143
TOR,2003,AL,162,86,76,894,826,68
ANA,2004,AL,162,92,70,836,734,102
ARI,2004,NL,162,51,111,615,899,-284
ATL,2004,NL,162,96,66,803,668,135
BAL,2004,AL,162,78,84,842,830,12
BOS,2004,AL,162,98,64,949,768,181
CHA,2004,AL,162,83,79,865,831,34
CHN,2004,NL,162,89,73,789,665,124
CIN,2004,NL,162,76,86,750,907,-157
CLE,2004,AL,162,80,82,858,857,1
COL,2004,NL,162,68,94,833,923,-90
DET,2004,AL,162,72,90,827,844,-17
FLO,2004,NL,162,83,79,718,700,18
HOU,2004,NL,162,92,70,803,698,105
KCA,2004,AL,162,58,104,720,905,-185
LAN,2004,NL,162,93,69,761,684,77
MIL,2004,NL,161,67,94,634,757,-123
MIN,2004,AL,162,92,70,780,715,65
MON,2004,NL,162,67,95,635,769,-134
NYA,2004,AL,162,101,61,897,808,89
NYN,2004,NL,162,71,91,684,731,-47
OAK,2004,AL,162,91,71,793,742,51
PHI,2004,NL,162,86,76,840,781,59
PIT,2004,NL,161,72,89,680,744,-64
SDN,2004,NL,162,87,75,768,705,63
SEA,2004,AL,162,63,99,698,823,-125
SFN,2004,NL,162,91,71,850,770,80
SLN,2004,NL,162,105,57,855,659,196
TBA,2004,AL,161,70,91,714,842,-128
TEX,2004,AL,162,89,73,860,794,66
TOR,2004,AL,161,67,94,719,823,-104
ARI,2005,NL,162,77,85,696,856,-160
ATL,2005,NL,162,90,72,769,674,95
BAL,2005,AL,162,74,88,729,800,-71
BOS,2005,AL,162,95,67,910,805,105
CHA,2005,AL,162,99,63,741,645,96
CHN,2005,NL,162,79,83,703,714,-11
CIN,2005,NL,163,73,89,820,889,-69
CLE,2005,AL,162,93,69,790,642,148
COL,2005,NL,162,67,95,740,862,-122
DET,2005,AL,162,71,91,723,787,-64
FLO,2005,NL,162,83,79,717,732,-15
